Temperature,Humidity,Rainfall,Soil_pH,Season,Disease
28.0,90.6,7.6,6.5,Summer,Early Blight
26.5,55.6,21.9,6.7,Monsoon,Early Blight
27.3,68.5,0.6,7.0,Monsoon,Early Blight
30.7,81.7,13.0,5.4,Monsoon,Early Blight
31.2,88.9,11.6,5.6,Winter,Late Blight
26.9,64.0,17.3,5.5,Winter,Early Blight
28.4,70.9,4.1,5.5,Monsoon,Early Blight
33.0,82.1,16.7,6.2,Summer,Late Blight
21.7,81.6,9.4,7.0,Monsoon,Early Blight
21.6,84.1,15.5,7.0,Winter,Late Blight
21.2,73.5,1.0,6.1,Winter,Early Blight
29.2,50.2,11.5,6.3,Winter,Early Blight
25.9,90.2,13.1,6.7,Winter,Late Blight
30.8,88.3,5.4,6.9,Summer,Early Blight
29.4,84.9,3.5,5.4,Summer,Early Blight
24.7,50.0,4.7,6.1,Summer,Healthy
32.6,55.2,8.6,6.7,Summer,Early Blight
30.7,82.2,2.4,5.6,Winter,Early Blight
23.8,46.2,23.7,5.9,Monsoon,Early Blight
25.1,94.0,10.1,7.0,Winter,Late Blight
24.4,63.9,20.2,7.0,Winter,Early Blight
22.2,81.0,24.4,6.8,Monsoon,Early Blight
22.1,89.4,2.0,6.6,Winter,Late Blight
33.1,64.7,16.3,5.5,Summer,Early Blight
26.1,61.0,21.8,5.6,Monsoon,Early Blight
25.4,75.4,15.9,6.1,Winter,Early Blight
30.2,74.0,10.7,6.1,Winter,Early Blight
27.7,65.5,10.8,6.0,Winter,Early Blight
33.1,75.1,0.9,6.3,Winter,Early Blight
30.9,91.8,13.4,5.8,Summer,Late Blight
26.7,68.4,24.8,6.5,Winter,Early Blight
25.3,54.8,24.0,5.7,Monsoon,Early Blight
33.8,63.9,1.0,5.7,Summer,Healthy
30.0,64.7,17.6,5.3,Winter,Early Blight
33.3,51.6,7.5,5.4,Summer,Early Blight
21.7,53.1,22.6,6.7,Winter,Early Blight
31.9,79.2,1.1,5.9,Winter,Early Blight
28.9,62.0,23.4,5.5,Monsoon,Early Blight
21.7,92.7,20.9,6.5,Summer,Late Blight
28.2,57.2,2.9,6.1,Summer,Healthy
29.6,49.9,1.5,5.0,Winter,Early Blight
20.2,82.7,20.9,5.6,Monsoon,Late Blight
26.4,89.1,3.9,5.4,Monsoon,Late Blight
31.6,58.9,13.4,6.3,Summer,Early Blight
24.1,55.1,22.9,5.6,Summer,Early Blight
26.4,54.3,14.2,5.1,Monsoon,Early Blight
26.2,71.1,9.9,5.1,Summer,Early Blight
24.2,68.4,11.1,6.2,Monsoon,Early Blight
32.9,58.0,1.6,5.0,Summer,Early Blight
30.9,47.3,24.2,6.7,Monsoon,Early Blight
21.5,69.1,7.8,5.3,Summer,Early Blight
34.0,93.0,4.7,6.2,Winter,Early Blight
32.3,77.6,7.2,5.9,Winter,Early Blight
24.0,69.8,24.1,5.9,Summer,Early Blight
31.7,50.5,2.4,5.1,Winter,Early Blight
21.5,57.6,21.7,6.6,Winter,Early Blight
34.0,59.7,17.7,6.8,Monsoon,Early Blight
29.3,83.2,20.8,5.0,Monsoon,Late Blight
29.1,88.8,24.4,5.4,Winter,Late Blight
21.3,90.1,21.1,6.8,Winter,Late Blight
32.6,94.2,23.6,6.1,Winter,Late Blight
20.4,94.1,3.2,5.3,Winter,Late Blight
23.4,92.6,19.9,5.4,Monsoon,Late Blight
22.0,48.6,13.6,6.3,Summer,Early Blight
30.9,51.9,13.6,6.4,Summer,Early Blight
22.8,60.2,22.5,6.2,Winter,Early Blight
32.7,72.6,24.3,6.9,Summer,Early Blight
29.2,49.8,17.6,6.0,Summer,Early Blight
20.5,87.3,12.1,5.6,Summer,Late Blight
20.1,75.8,11.4,6.0,Monsoon,Early Blight
20.7,72.1,9.7,5.7,Monsoon,Early Blight
28.5,53.3,9.0,5.4,Monsoon,Early Blight
31.2,57.7,9.8,5.1,Winter,Early Blight
23.3,53.0,2.2,5.7,Monsoon,Healthy
31.9,87.6,1.9,6.4,Summer,Early Blight
20.8,74.2,19.5,5.0,Monsoon,Early Blight
31.2,81.8,11.2,5.9,Winter,Early Blight
33.0,59.8,23.3,6.3,Monsoon,Early Blight
30.8,63.6,15.3,6.2,Summer,Early Blight
29.8,65.2,0.9,6.6,Winter,Healthy
31.7,83.0,3.9,6.6,Monsoon,Early Blight
20.6,83.6,5.1,6.4,Winter,Late Blight
22.8,55.3,24.4,5.2,Winter,Early Blight
21.7,92.1,5.5,6.0,Summer,Late Blight
27.1,51.0,12.9,6.2,Winter,Early Blight
30.4,89.8,23.4,5.5,Summer,Late Blight
28.8,50.0,24.4,5.1,Summer,Early Blight
31.9,58.2,5.9,5.4,Monsoon,Early Blight
22.2,87.3,1.2,5.9,Winter,Late Blight
30.3,54.0,3.8,5.8,Winter,Healthy
22.7,65.7,1.6,5.4,Winter,Early Blight
23.8,67.5,4.9,6.6,Monsoon,Healthy
29.9,57.3,14.2,6.9,Summer,Early Blight
33.7,80.5,22.8,5.4,Winter,Early Blight
28.6,87.6,13.4,6.9,Summer,Late Blight
20.8,88.7,15.6,5.0,Winter,Late Blight
28.6,62.0,5.0,6.8,Monsoon,Early Blight
20.6,71.5,20.0,6.9,Winter,Early Blight
32.4,57.4,15.4,5.0,Monsoon,Early Blight
29.9,57.2,21.6,6.5,Winter,Early Blight
22.4,53.1,23.7,6.9,Monsoon,Early Blight
21.3,92.0,8.7,6.8,Winter,Late Blight
22.6,89.4,2.3,6.9,Summer,Late Blight
33.7,83.9,5.6,6.1,Monsoon,Early Blight
26.4,70.9,10.9,5.2,Monsoon,Early Blight
31.0,69.5,23.6,6.7,Summer,Early Blight
28.9,71.5,9.5,6.2,Monsoon,Early Blight
28.0,71.8,19.3,6.2,Summer,Early Blight
22.0,66.7,13.5,5.8,Monsoon,Early Blight
33.2,51.6,4.6,6.1,Monsoon,Healthy
24.2,51.3,8.0,5.3,Winter,Early Blight
28.1,92.6,16.3,6.5,Monsoon,Late Blight
29.8,69.1,16.8,5.2,Summer,Early Blight
29.1,92.7,10.9,6.5,Summer,Late Blight
33.2,53.2,5.7,6.7,Summer,Early Blight
22.1,72.7,18.0,5.9,Winter,Early Blight
27.1,55.4,4.2,6.0,Monsoon,Healthy
25.7,57.7,23.4,5.6,Summer,Early Blight
26.6,46.5,4.7,6.9,Winter,Healthy
21.7,50.9,2.7,6.5,Monsoon,Healthy
21.9,90.8,12.4,5.7,Summer,Late Blight
23.9,61.1,13.0,5.3,Monsoon,Early Blight
24.3,75.4,12.7,5.4,Summer,Early Blight
26.0,68.3,10.9,5.9,Monsoon,Early Blight
28.6,65.0,24.9,6.9,Winter,Early Blight
28.9,71.6,12.2,6.5,Winter,Early Blight
25.8,54.4,11.9,5.4,Summer,Early Blight
25.7,94.4,10.5,6.7,Winter,Late Blight
23.0,85.9,1.7,5.8,Monsoon,Late Blight
28.2,82.1,14.8,6.7,Summer,Late Blight
24.4,68.4,5.7,5.5,Monsoon,Early Blight
20.5,52.6,15.9,6.2,Winter,Early Blight
25.9,91.0,1.3,6.9,Monsoon,Late Blight
26.6,62.1,24.5,5.5,Winter,Early Blight
23.2,47.5,11.7,6.4,Winter,Early Blight
28.0,62.1,22.4,7.0,Summer,Early Blight
27.9,84.7,11.9,5.3,Winter,Late Blight
29.8,76.1,1.5,5.2,Summer,Early Blight
29.1,82.5,20.6,6.3,Winter,Late Blight
29.1,84.7,16.2,5.7,Summer,Late Blight
24.4,55.6,19.5,5.1,Winter,Early Blight
31.0,91.2,10.7,6.0,Winter,Late Blight
27.7,66.9,15.9,6.5,Summer,Early Blight
26.0,77.0,21.4,5.6,Monsoon,Early Blight
28.8,45.1,15.8,5.7,Winter,Early Blight
25.0,94.7,8.7,6.7,Monsoon,Late Blight
27.2,59.0,16.6,6.0,Summer,Early Blight
30.3,48.1,16.8,6.7,Summer,Early Blight
32.4,67.9,24.0,5.9,Winter,Early Blight
32.9,51.5,9.3,6.9,Summer,Early Blight
27.1,52.6,10.6,6.3,Summer,Early Blight
27.3,76.6,20.3,5.2,Winter,Early Blight
31.2,64.6,12.6,6.8,Summer,Early Blight
24.4,91.1,18.4,6.0,Monsoon,Late Blight
31.7,61.0,11.5,5.3,Summer,Early Blight
26.9,81.3,5.4,5.3,Summer,Early Blight
21.6,68.1,18.6,6.4,Winter,Early Blight
21.0,78.0,3.3,5.1,Monsoon,Early Blight
31.8,75.0,5.0,5.6,Summer,Early Blight
20.8,68.6,15.7,5.3,Summer,Early Blight
23.9,92.5,18.7,5.9,Monsoon,Late Blight
24.7,62.1,22.4,5.8,Monsoon,Early Blight
22.4,53.9,6.8,6.0,Winter,Early Blight
24.4,78.9,2.8,5.6,Winter,Early Blight
30.4,87.3,23.9,5.1,Winter,Late Blight
20.2,47.0,3.9,6.2,Winter,Healthy
31.6,67.5,4.9,5.7,Winter,Healthy
32.0,89.6,7.3,6.3,Summer,Early Blight
25.2,82.5,13.2,5.2,Summer,Late Blight
22.2,94.6,22.1,5.0,Summer,Late Blight
28.4,71.6,19.0,5.5,Monsoon,Early Blight
21.7,78.0,17.7,5.9,Winter,Early Blight
25.1,60.1,4.4,5.8,Winter,Healthy
33.4,92.4,8.9,6.6,Winter,Early Blight
33.9,63.3,12.0,5.8,Monsoon,Early Blight
30.8,81.9,3.7,6.1,Summer,Early Blight
24.4,65.2,6.8,6.2,Summer,Early Blight
29.6,73.1,7.7,5.0,Summer,Early Blight
29.9,81.0,3.2,6.0,Winter,Early Blight
25.4,70.4,13.8,5.7,Monsoon,Early Blight
29.0,90.4,17.6,5.8,Winter,Late Blight
20.2,66.0,1.7,5.2,Winter,Early Blight
22.9,77.4,12.0,6.6,Monsoon,Early Blight
27.4,62.1,19.6,6.9,Summer,Early Blight
22.3,65.4,18.7,5.0,Winter,Early Blight
22.3,67.0,20.4,6.2,Winter,Early Blight
31.7,51.3,11.2,6.5,Winter,Early Blight
33.8,49.6,20.5,5.6,Monsoon,Early Blight
27.8,78.4,6.0,6.6,Summer,Early Blight
31.7,77.8,9.0,6.3,Monsoon,Early Blight
33.9,78.1,4.4,6.9,Summer,Early Blight
22.0,46.0,11.7,7.0,Winter,Early Blight
26.3,61.3,9.8,5.1,Winter,Early Blight
25.5,54.9,6.0,5.9,Monsoon,Early Blight
21.1,83.9,18.8,6.1,Winter,Late Blight
30.6,88.0,7.8,5.3,Summer,Early Blight
26.1,57.3,6.8,5.7,Summer,Early Blight
26.6,78.4,3.3,7.0,Winter,Early Blight
22.1,51.5,11.0,5.0,Monsoon,Early Blight
22.5,58.8,7.6,5.9,Summer,Early Blight
32.7,51.9,9.2,6.7,Monsoon,Early Blight
20.6,59.2,5.9,5.6,Winter,Early Blight
23.3,78.7,19.1,6.0,Summer,Early Blight
24.1,90.5,23.3,7.0,Summer,Late Blight
26.9,55.1,12.4,5.9,Winter,Early Blight
28.2,72.1,16.1,5.3,Summer,Early Blight
26.9,80.1,21.7,5.1,Summer,Early Blight
21.2,92.6,25.0,6.9,Winter,Late Blight
23.4,75.5,15.3,5.5,Monsoon,Early Blight
31.8,57.8,22.2,6.0,Summer,Early Blight
28.9,76.3,22.7,5.2,Summer,Early Blight
29.1,61.0,19.8,5.8,Summer,Early Blight
29.4,93.8,11.5,6.9,Winter,Late Blight
30.7,65.0,2.0,6.0,Monsoon,Healthy
20.8,79.3,0.4,6.9,Monsoon,Early Blight
25.1,46.2,11.9,5.5,Monsoon,Early Blight
27.6,65.0,12.4,6.0,Monsoon,Early Blight
24.7,88.8,10.2,6.7,Summer,Late Blight
31.8,75.5,14.2,5.9,Summer,Early Blight
26.8,67.2,13.8,5.6,Winter,Early Blight
30.8,91.8,20.9,6.7,Monsoon,Late Blight
31.9,87.7,2.7,5.8,Monsoon,Early Blight
27.1,61.1,5.6,6.1,Summer,Early Blight
32.7,72.2,19.8,7.0,Summer,Early Blight
28.2,69.5,21.2,5.4,Summer,Early Blight
31.9,76.6,24.9,5.6,Summer,Early Blight
24.8,61.7,21.8,5.1,Winter,Early Blight
27.0,57.2,22.2,5.8,Winter,Early Blight
27.4,90.6,7.9,5.4,Winter,Early Blight
21.5,91.2,10.0,6.4,Summer,Late Blight
25.6,87.2,6.7,5.4,Monsoon,Late Blight
32.8,93.9,15.2,6.3,Winter,Late Blight
28.8,82.2,23.5,5.5,Monsoon,Late Blight
22.5,83.2,8.6,5.7,Monsoon,Late Blight
24.7,83.1,13.9,5.7,Summer,Late Blight
22.7,69.0,7.4,6.4,Summer,Early Blight
20.3,67.8,4.2,5.9,Monsoon,Healthy
33.0,57.0,4.9,5.7,Winter,Healthy
26.3,77.2,1.4,6.7,Summer,Early Blight
24.3,59.5,23.7,6.1,Winter,Early Blight
28.4,57.9,10.1,5.4,Winter,Early Blight
20.1,74.3,20.9,6.8,Monsoon,Early Blight
23.9,65.5,17.0,5.7,Summer,Early Blight
29.8,55.9,4.8,5.1,Monsoon,Early Blight
28.9,85.8,4.4,6.0,Monsoon,Early Blight
33.7,88.0,20.3,5.2,Summer,Late Blight
28.7,53.4,6.6,5.5,Summer,Early Blight
26.7,45.4,22.8,6.5,Winter,Early Blight
30.7,61.8,3.5,5.3,Summer,Early Blight
32.6,84.9,16.9,6.6,Summer,Late Blight
30.1,87.0,20.4,6.9,Winter,Late Blight
33.5,51.9,5.9,6.2,Monsoon,Early Blight
30.9,83.7,6.9,6.4,Monsoon,Early Blight
32.1,50.8,24.1,6.4,Summer,Early Blight
21.6,64.5,6.6,7.0,Monsoon,Early Blight
30.3,94.9,10.7,5.7,Summer,Late Blight
26.2,54.6,10.8,5.3,Monsoon,Early Blight
27.7,52.7,6.3,6.0,Monsoon,Early Blight
29.2,66.1,19.4,6.1,Monsoon,Early Blight
33.6,76.0,19.3,5.4,Summer,Early Blight
33.8,91.6,9.5,6.2,Monsoon,Early Blight
24.0,94.0,20.9,5.0,Summer,Late Blight
30.3,48.5,5.3,6.9,Winter,Early Blight
30.5,51.9,0.1,5.5,Winter,Early Blight
24.9,84.5,14.3,5.1,Summer,Late Blight
21.7,58.5,24.9,5.2,Summer,Early Blight
20.6,89.2,1.0,5.5,Monsoon,Late Blight
30.9,78.2,5.2,5.5,Winter,Early Blight
26.9,50.6,13.0,5.1,Winter,Early Blight
33.8,86.6,20.2,5.6,Winter,Late Blight
26.5,53.8,2.2,5.4,Winter,Early Blight
33.7,66.2,9.9,5.8,Monsoon,Early Blight
25.8,72.6,18.7,5.8,Summer,Early Blight
31.1,70.0,9.3,5.7,Monsoon,Early Blight
21.2,79.3,4.7,5.7,Monsoon,Early Blight
27.8,77.6,4.9,5.2,Winter,Early Blight
31.2,94.6,10.3,5.1,Summer,Late Blight
32.9,95.0,12.0,5.4,Summer,Late Blight
31.5,70.8,21.5,6.5,Monsoon,Early Blight
20.5,49.8,16.1,7.0,Monsoon,Early Blight
25.2,81.4,17.3,6.9,Summer,Early Blight
20.7,93.8,24.6,6.0,Summer,Late Blight
21.5,60.9,10.3,6.1,Summer,Early Blight
29.5,68.1,10.1,5.6,Summer,Early Blight
30.0,66.2,23.1,6.5,Monsoon,Early Blight
30.8,47.6,6.1,6.5,Monsoon,Early Blight
32.1,78.6,18.2,6.7,Summer,Early Blight
30.4,62.7,18.9,6.8,Monsoon,Early Blight
31.2,84.4,2.4,5.9,Summer,Early Blight
20.7,86.6,11.7,6.5,Winter,Late Blight
23.3,86.1,5.0,6.6,Winter,Late Blight
28.7,65.8,4.6,5.6,Monsoon,Early Blight
32.0,61.1,11.6,6.9,Monsoon,Early Blight
20.1,82.4,7.2,5.2,Summer,Late Blight
27.2,85.1,19.9,7.0,Summer,Late Blight
29.5,69.6,22.7,6.5,Summer,Early Blight
20.4,89.7,20.1,5.2,Summer,Late Blight
25.6,52.2,6.7,6.3,Monsoon,Early Blight
32.5,89.0,6.9,5.1,Monsoon,Early Blight
29.4,49.8,6.4,6.5,Summer,Early Blight
23.3,52.7,3.4,6.6,Monsoon,Healthy
31.9,71.7,23.6,6.2,Winter,Early Blight
24.9,48.4,10.1,6.7,Winter,Early Blight
31.9,47.6,5.6,5.2,Winter,Early Blight
24.2,45.0,21.2,5.6,Summer,Early Blight
28.3,66.8,10.0,5.8,Monsoon,Early Blight
25.6,83.7,0.9,5.1,Summer,Late Blight
23.8,46.7,4.0,5.9,Summer,Healthy
32.4,77.6,16.0,5.5,Summer,Early Blight
22.6,86.2,19.6,5.8,Summer,Late Blight
21.2,53.4,5.3,5.9,Summer,Early Blight
24.8,52.3,22.9,6.8,Summer,Early Blight
30.0,88.0,21.3,5.5,Monsoon,Late Blight
31.3,86.2,21.2,6.8,Monsoon,Late Blight
34.0,71.9,5.7,5.9,Summer,Early Blight
24.1,86.0,1.3,5.7,Summer,Late Blight
25.7,49.6,21.7,6.0,Winter,Early Blight
21.9,64.7,7.6,5.8,Monsoon,Early Blight
28.0,81.9,15.5,5.5,Monsoon,Early Blight
34.0,57.9,19.0,6.0,Monsoon,Early Blight
29.8,82.6,3.2,5.3,Winter,Early Blight
28.3,70.2,19.5,5.7,Winter,Early Blight
25.5,82.5,23.5,6.1,Summer,Late Blight
32.8,68.2,18.2,5.8,Monsoon,Early Blight
27.0,63.4,11.0,6.6,Monsoon,Early Blight
21.9,56.0,21.9,5.5,Summer,Early Blight
25.1,55.4,13.2,6.9,Monsoon,Early Blight
20.9,82.6,18.6,6.6,Summer,Late Blight
22.8,50.9,20.5,6.9,Monsoon,Early Blight
20.2,49.3,18.7,6.7,Monsoon,Early Blight
26.3,53.8,7.2,5.3,Summer,Early Blight
28.9,53.8,2.9,6.1,Winter,Healthy
24.8,86.2,6.0,5.3,Summer,Late Blight
25.9,64.9,12.6,6.6,Winter,Early Blight
33.4,94.5,12.6,6.2,Monsoon,Late Blight
30.5,51.9,14.6,5.5,Summer,Early Blight
27.6,77.7,9.9,6.9,Winter,Early Blight
24.0,67.4,19.7,5.2,Monsoon,Early Blight
32.6,64.6,22.8,6.1,Summer,Early Blight
23.3,88.8,6.2,6.4,Summer,Late Blight
24.6,93.8,18.4,5.1,Winter,Late Blight
32.7,88.6,16.9,6.2,Winter,Late Blight
27.4,54.6,13.1,6.6,Winter,Early Blight
30.4,56.0,4.7,5.1,Summer,Early Blight
28.3,77.8,19.9,6.0,Monsoon,Early Blight
29.1,59.5,24.0,5.5,Winter,Early Blight
24.2,81.7,18.0,6.3,Summer,Early Blight
23.4,73.3,22.9,5.2,Monsoon,Early Blight
24.5,72.5,24.6,6.9,Monsoon,Early Blight
22.2,86.4,8.8,6.8,Winter,Late Blight
32.2,80.5,16.0,5.4,Summer,Early Blight
24.0,46.3,11.8,5.6,Winter,Early Blight
27.9,47.5,24.7,6.2,Winter,Early Blight
31.1,75.1,2.3,6.4,Summer,Early Blight
31.0,69.3,10.3,5.9,Winter,Early Blight
26.1,58.0,21.9,5.3,Monsoon,Early Blight
26.7,65.9,7.1,5.2,Summer,Early Blight
33.9,82.9,19.7,7.0,Monsoon,Late Blight
29.4,86.3,9.6,5.9,Summer,Early Blight
31.4,73.1,24.5,6.7,Monsoon,Early Blight
32.6,64.3,22.1,6.0,Winter,Early Blight
31.0,58.5,7.5,6.8,Summer,Early Blight
22.6,71.1,19.3,5.2,Monsoon,Early Blight
27.9,60.7,8.4,5.2,Summer,Early Blight
21.4,73.2,15.2,6.9,Winter,Early Blight
29.1,78.8,16.5,6.9,Summer,Early Blight
33.4,48.3,20.7,5.6,Monsoon,Early Blight
27.2,45.1,0.6,5.7,Monsoon,Healthy
26.1,55.6,5.5,5.9,Monsoon,Early Blight
20.5,89.7,17.8,5.8,Winter,Late Blight
33.4,77.3,14.1,5.4,Winter,Early Blight
21.4,53.6,12.4,6.8,Winter,Early Blight
20.6,89.5,1.4,5.5,Monsoon,Late Blight
23.4,68.5,8.7,6.4,Monsoon,Early Blight
20.9,68.8,21.6,5.1,Summer,Early Blight
26.4,91.8,0.8,5.1,Winter,Late Blight
27.2,48.0,9.9,6.3,Summer,Early Blight
24.4,55.8,23.6,5.7,Summer,Early Blight
20.7,74.3,1.3,6.3,Monsoon,Early Blight
21.6,54.8,18.7,5.2,Summer,Early Blight
25.4,79.0,6.4,6.9,Monsoon,Early Blight
20.8,55.7,21.7,6.5,Winter,Early Blight
29.8,50.0,18.7,6.8,Summer,Early Blight
22.9,55.3,22.1,5.3,Winter,Early Blight
24.2,66.1,5.4,5.6,Winter,Early Blight
25.5,53.8,13.3,5.7,Monsoon,Early Blight
25.8,51.7,19.5,6.1,Winter,Early Blight
20.0,88.0,6.1,5.6,Monsoon,Late Blight
21.6,61.0,5.8,5.1,Monsoon,Early Blight
32.1,63.0,0.7,5.7,Monsoon,Healthy
20.0,47.8,24.0,5.5,Winter,Early Blight
27.1,62.9,17.8,5.8,Summer,Early Blight
26.9,58.2,15.9,5.4,Winter,Early Blight
24.7,75.5,18.6,5.5,Summer,Early Blight
26.0,55.3,13.3,6.3,Winter,Early Blight
30.9,89.4,11.9,5.8,Monsoon,Late Blight
31.8,91.5,11.2,5.7,Winter,Late Blight
